FileName,Author,authorPlaceOfBirth,PubPlace,PubDept,datePrint
bastian-s-gaischtert-im-huss_final_ns,Ferdinand Bastian,Strasbourg,Strasbourg,Bas-Rhin,not before 1930
bastian-struwelpeter_final_ns,Ferdinand Bastian,Strasbourg,Strasbourg,Bas-Rhin,1932
clemens-d-brueder_final_ns,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1920
clemens-dr-amerikaner_final_ns,Paul Clemens,Strasbourg,Colmar,Haut-Rhin,1920
fuchs-heimlichi-lieb_final_ns,Ernst Fuchs,NaN,Gundershoffen,Bas-Rhin,1914
greber-s-teschtament_final_ns,Julius Greber,Aachen,Strasbourg,Bas-Rhin,1910
gunther-dr-cousin-refractaire_final_ns,Hermann GÃ¼nther,NaN,Strasbourg,Bas-Rhin,1907
hahn-jungi-madamme_final_ns,Emilie Hahn,NaN,Strasbourg,Bas-Rhin,1922
horsch-neui-hosse_final_ns,Adolphe Horsch,Strasbourg,Strasbourg,Bas-Rhin,1908
huck-a-gelungener-patient_final_ns,Martin Huck,NaN,Mulhouse,Haut-Rhin,1931
jost-d-satisfaction_final_ns,Camille Jost,NaN,Strasbourg,Bas-Rhin,1924
jost-dr-erscht-handel_final_ns,Camille Jost,NaN,Strasbourg,Bas-Rhin,1928
jost-e-dienschtbott-wurd-gsuecht_final_ns,Camille Jost,NaN,Strasbourg,Bas-Rhin,1928
kleisecker-dr-schnider-von-gambse_final_ns,H. Kleisecker,NaN,Strasbourg,Bas-Rhin,1920
lasch-dr-babbler_final_ns,Gustav Lasch,Strasbourg,Strasbourg,Bas-Rhin,1911
riff-d-schloofere_final_ns,Jean Riff,NaN,Strasbourg,Bas-Rhin,1914
riff-dr-hasestrickler_final_ns,Jean Riff,NaN,Strasbourg,Bas-Rhin,1922
sengelin-d-mamsell-elis_final_ns,Xavier Sengelin,NaN,Colmar,Haut-Rhin,1920
stoskopf-e-diplomat_final_ns,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1899
stoskopf-e-mordsaffar_final_ns,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1900
stoskopf-wenn-d-fraue-wahle_final_ns,Gustave Stoskopf,Brumath,Strasbourg,Bas-Rhin,1925
wagner-die-greifensteiner_final_ns,Emile Wagner,NaN,Rouffach,Haut-Rhin,1930
weber-am-wihnachtsowe-bym-e-kriejsblinde_final_ns,Emile Weber,NaN,Strasbourg,Bas-Rhin,1927
weber-e-bissel-lieb_final_ns,Emile Weber,NaN,Gundershoffen,Bas-Rhin,1936
weber-wihnachtsstimme_final_ns,Charles Weber,NaN,Colmar,Haut-Rhin,1920
weigel-in-dr-awril-gschickt_final_ns,Madeleine Weigel,NaN,Mulhouse,Haut-Rhin,1930
