0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
_lehn,lehn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riwe,hriwe,rawie,rvo_,rawi,riwe_,,,,,,,,,,,,,,,,,,,,,,,,
'nüe,nien,_nia_,_nàh,_näi,_nien,nig_,_ne_,'nüe_,_nia,nei_,_nei_,nna_,_nàh_,nàh_,,,,,,,,,,,,,,,
site,siter,sst_,_sàit,_site,'sto,sàit,'sàit,site_,sàit_,,,,,,,,,,,,,,,,,,,,
schaü,'schà,schà,cho_,scho_,scho,_scho,chàh_,cha_,schàh,'sch,'scha,chaüe,'schi,chaü,chàh,chaü_,,,,,,,,,,,,,
pot_,beid,_beid,beide,,,,,,,,,,,,,,,,,,,,,,,,,,
eig_,i...,ieih_,_i...,eih_,_eh_,_oh_,üer_,aüe_,_eig,äue_,_i..,i..._,ieih,ien_,,,,,,,,,,,,,,,
orum_,orum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hann-,hàn_,_hàn,hien_,_hàn_,,,,,,,,,,,,,,,,,,,,,,,,,
thüre,_dra_,dure_,_dr_,dure,traü,dàre,dàre_,dur_,_thür,_dàre,tt-r,_dure,_dàr,t-r_,tt-r_,_traü,traüe,trag,_dur_,_dri_,thür,dra_,,,,,,,
hig_,_hà_,hüe_,hàh_,haüe,_ha_,_hi_,haüe_,hien_,haü_,,,,,,,,,,,,,,,,,,,,
asch_,echa_,echa,,,,,,,,,,,,,,,,,,,,,,,,,,,
wege_,wage,wege,wage_,_wage,_wege,,,,,,,,,,,,,,,,,,,,,,,,
ämme,eimo,_amo,immig,_eim,àmme,eme_,_àmm,àmme_,_àmme,_umme,üem_,_em_,_umm,_eimo,umma_,ämme_,eim_,ieme_,,,,,,,,,,,
_güet,güet,güet_,git_,gent,_güat,chta_,_git_,güat,güete,,,,,,,,,,,,,,,,,,,,
nnöt,_nitt,nnt_,nitt_,ntig,nda_,nitt,,,,,,,,,,,,,,,,,,,,,,,
chin,schin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlig_,dlig,dlig_,theil,tlig,,,,,,,,,,,,,,,,,,,,,,,,,
orge_,orig_,arg_,_arg_,,,,,,,,,,,,,,,,,,,,,,,,,,
viell,wil_,_wil_,wohl,wohl_,,,,,,,,,,,,,,,,,,,,,,,,,
hüre_,hüre,hiro,_hir,_hiro,,,,,,,,,,,,,,,,,,,,,,,,,
irli,erlo_,erlaü,irlig,,,,,,,,,,,,,,,,,,,,,,,,,,
müett,müet,_müet,,,,,,,,,,,,,,,,,,,,,,,,,,,
reid_,rüed,'red,reid,rede,rede_,_rede,rüede,red_,,,,,,,,,,,,,,,,,,,,,
ird_,erde_,irot,àcht,àchti,,,,,,,,,,,,,,,,,,,,,,,,,
raü_,hra_,hr'_,_rieh,raüe_,'hiro,riei,'hir,rieih,'hör,raüe,r..._,r...,,,,,,,,,,,,,,,,,
hint,hüet,hint_,hàte_,hàte,_hit,_hit_,hit_,hüet_,_hat_,_hat,hat_,hàt_,,,,,,,,,,,,,,,,,
ewil,ewil_,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_g'n,_kunn,gnu_,känn,_kän,_gnu_,chin,_gàn,_kun,känne,_g'nü,g'nüe,gàn_,gien,_gien,_gnu,g'nü,_kuen,kunn,_känn,_gàn_,,,,,,,,,
laüf,_laüf,laüw,liwe_,laüwe,lewi,laüfe,liwe,llewi,,,,,,,,,,,,,,,,,,,,,
rzüe_,rzei,rzeih,rzüe,,,,,,,,,,,,,,,,,,,,,,,,,,
wàr_,_wàr,_wàr_,woru,_woru,_wir,_war_,,,,,,,,,,,,,,,,,,,,,,,
müas,müass,mies,miess,mues_,_müas,_mies,_mües,mües_,müess,mües,,,,,,,,,,,,,,,,,,,
_wà_,_we_,_wia_,wag_,_vu_,_vo_,wia_,_wag,_wu_,_wia,,,,,,,,,,,,,,,,,,,,
ane_,ànn_,_unnö,_ene_,änne_,ien_,àhn_,ene_,_ane,ann-,_ane_,inn_,enig,änne,_ine,àne_,unnö,_ine_,_ene,enig_,,,,,,,,,,
sah_,ssa_,seig_,_sag,_süe,_se_,seig,sàh_,_z'_,_sag_,'süe,_sàh,'sàh_,_sài,_seig,sag_,'sài,'sàh,_si_,_sàh_,,,,,,,,,,
zieh_,zeig,_zeig,züa_,_züe_,_das,_das_,_züe,züe_,das_,zeig_,_züa,,,,,,,,,,,,,,,,,,
nàmm,_nàmm,nàmme,_nàm,,,,,,,,,,,,,,,,,,,,,,,,,,
mien,_màn,mien_,'mein,,,,,,,,,,,,,,,,,,,,,,,,,,
pape,pape_,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ewil,ewil_,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_dat_,_thàt,thàte,thàt,thüet,det_,thàt_,tet_,,,,,,,,,,,,,,,,,,,,,,
lig_,laui,hlag,llei_,'lie,_lia,llich,lla_,_lüa,hla_,_laü,lei_,_lo_,lüag,_lüe,,,,,,,,,,,,,,,
entl,entli,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_iwer,iwer,iwer_,,,,,,,,,,,,,,,,,,,,,,,,,,,
_güe,kei_,_geh_,g'ha_,geh_,cha_,chaü,_kei_,g'ha,_ke_,_gà_,gha_,g'hi,_g'h,chàh,_g'ha,_g'hi,cho_,_ku_,_kei,gien,_gien,_gha_,chaü_,_kuen,_güa,_ka_,chàh_,chaüe,_ga_
laüw,liwe_,laüwe,lawa_,lawa,lewi,liwe,llewi,,,,,,,,,,,,,,,,,,,,,,
_lid,lta_,_lide,lit_,_lit_,lide_,,,,,,,,,,,,,,,,,,,,,,,,
hta_,_tag,_dia_,_tien,_thie,_tie,_thi,_thüe,_tàg,_di_,thien,dia_,_tag_,_thà,thüe,tien,_thü,thüen,thie,the_,thig,tàg_,_tàg_,thüe_,_dà_,tag_,,,,
üfe_,aüfe,aüfe_,_ufe,aüwe_,_uf_,üwe_,_ufe_,eifa,aüwe,_afa,iwe_,_efa,_iwe,,,,,,,,,,,,,,,,
_poss,bbis,b'su,bbis_,poss,_b'su,bes_,_b's,bbes_,possi,_pos,bbes,,,,,,,,,,,,,,,,,,
g'wa,_g'wi,chwà,_g'w,g'wi,,,,,,,,,,,,,,,,,,,,,,,,,
nien,näin,_nien,_näin,näin_,,,,,,,,,,,,,,,,,,,,,,,,,
zite,_zit,zit_,_zit_,züed,,,,,,,,,,,,,,,,,,,,,,,,,
_ass-,üess,_üse_,iess,üass,iesse,ass_,ües_,_eso_,üass_,_az',eiss_,_üse,_as_,eiss,ossig,eso_,üess_,_ass,_is_,üse_,_eso,_ass_,,,,,,,
cklig,glaü,klig,g'le,g'lo,_gli,_g'le,glig,_glaü,cle_,chla_,_g'l,klig_,gli_,glig_,_gli_,,,,,,,,,,,,,,
sàhn_,sinn,'sun,sàhn,sinn_,_sàhn,,,,,,,,,,,,,,,,,,,,,,,,
eger_,age_,ige_,ega_,iege_,üege_,üege,eige,_awe_,iege,_aüge,_eige,aüge,eige_,iga_,eger,awa_,ugo_,oge_,öge_,aüge_,üge_,ege_,aga_,,,,,,
iehr,_ihre,üech_,üer_,ara_,ihr',acha,eüch,üeche,acha_,iehre,eüch_,ihre,_ihr',ihr'_,_eüch,ihre_,àre_,_ar_,orig_,ora_,üech,,,,,,,,
_mehr,mehr_,mehr,_mr.,_mr_,'mach,mr..,,,,,,,,,,,,,,,,,,,,,,,
_nur_,n-r_,nn-r,_nur,-nr_,nur_,nn-r_,,,,,,,,,,,,,,,,,,,,,,,
_mie,_müe,_miei,mmig_,_mi_,_me_,mmig,'mei,_müa,mieih,mma_,_mag,mien,mig_,_mag_,miei,mag_,mien_,,,,,,,,,,,,
'wis,weiss,weis,'wiss,wiss_,_weis,,,,,,,,,,,,,,,,,,,,,,,,
aüwe_,üwe_,iwer,iwer_,_awe_,_iwer,awa_,aüwe,iwe_,_iwe,,,,,,,,,,,,,,,,,,,,
_lose,lhüse,lis_,lose_,lhüs,lise,,,,,,,,,,,,,,,,,,,,,,,,
vate,_vat,_vate,,,,,,,,,,,,,,,,,,,,,,,,,,,
eweg,eweg_,_ufg,,,,,,,,,,,,,,,,,,,,,,,,,,,
gsi_,_gsi_,_g's,_g'sà,g'sàh,_cüsi,gasse,g'sà,_gsi,g'sài,_kas,gass,_cüs,,,,,,,,,,,,,,,,,
ielli,elli,àlle,allei,iell,ohl_,_eli,alla_,,,,,,,,,,,,,,,,,,,,,,
g're,g'ri,g'hir,_g're,_kuch,kuch,_g'r,_g'ri,,,,,,,,,,,,,,,,,,,,,,
wird,wird_,_wird,warte,,,,,,,,,,,,,,,,,,,,,,,,,,
üede,üete,üat_,iter_,eide_,üet_,àte_,_ode,üeder,eder_,int_,_eit,àit_,üete_,ide_,eda_,üeter,iede,eder,ieder,oder_,eid_,ater,ater_,iter,ede_,_oder,,,
wenig,_wànn,_wann,wànn_,_wan,_weni,wann_,_wàn,wànn,wann,weni,,,,,,,,,,,,,,,,,,,
_fir_,friei,frei,_fir,fir_,_fro,_frie,_fraü,fiehr,füer,füer_,_füer,fraü_,_frei,fraü,,,,,,,,,,,,,,,
ännt,unnöt,int_,ännte,ännt_,_and_,unnt_,unnt,,,,,,,,,,,,,,,,,,,,,,
_wied,_vate,_vat,wit_,hwàt,wiede,_wite,_wit_,vate,wied,wite,vater,,,,,,,,,,,,,,,,,,
laüb_,laüb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlig_,mlig,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sal_,_sal_,_sàll,sàll,_sàl,,,,,,,,,,,,,,,,,,,,,,,,,
_kàm,_g'ma,_kàm_,kämm,kämme,_g'm,_g'me,_käm,_kämm,g'me,g'mei,kàm_,g'ma,,,,,,,,,,,,,,,,,
